FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,VerDate
,,1970-71 Prescribed Burn,,,299.98546431,8615.63712029,06/06/2024
,70/161,1970-71 Prescribed Burn,,,309.02564458,20657.63399306,06/06/2024
,,1970-71 Prescribed Burn,1970/07/01,,13.60000154,1999.48770109,06/06/2024
,"0",1971-72 Prescribed Burn,1971/07/01,,58.99437144,5312.21015186,06/06/2024
,"0",1971-72 Prescribed Burn,1971/07/01,,383.15515433,20564.60273085,06/06/2024
,"0",1971-72 Prescribed Burn,1971/07/01,,27.24194117,3844.24683160,06/06/2024
,"0",1971-72 Prescribed Burn,1971/07/01,,19.78213215,2887.39446810,06/06/2024
,"0",1971-72 Prescribed Burn,1971/07/01,,55.74831064,4980.89220501,06/06/2024
,"0",1971-72 Prescribed Burn,1971/07/01,,53.16935021,4239.19723733,06/06/2024
,"0",1971-72 Prescribed Burn,1971/07/01,,98.11012264,6445.93627444,06/06/2024
,,1974-75 Prescribed Burn,1974/06/01,,2001.43905356,27230.58468576,06/06/2024
,,1975-76 Prescribed Burn,1975/07/01,,825.56982126,15249.00765354,06/06/2024
,,1976-77 Prescribed Burn,,,32.39455247,3450.32392972,06/06/2024
,,1976-77 Prescribed Burn,,,60.59834504,3615.39265107,06/06/2024
,76/160,1976-77 Prescribed Burn,,,31.35595997,2443.51416089,06/06/2024
,76/160,1976-77 Prescribed Burn,,,24.43671901,2209.58497773,06/06/2024
,,1976-77 Prescribed Burn,1976/07/10,,249.44071016,16142.75109517,06/06/2024
,,1977-78 Prescribed Burn,,,271.10225951,7201.05440713,06/06/2024
,,1977-78 Prescribed Burn,,,287.91953527,6927.55662839,06/06/2024
,,1977-78 Prescribed Burn,,,86.07460087,5176.79373386,06/06/2024
,,1977-78 Prescribed Burn,,,41.84399797,2776.36192531,06/06/2024
,77/160,1977-78 Prescribed Burn,,,38.77164386,3107.10772337,06/06/2024
,77/160,1977-78 Prescribed Burn,,,39.50272558,3056.03848571,06/06/2024
,77/160,1977-78 Prescribed Burn,,,109.34645402,4298.14943874,06/06/2024
,77/160,1977-78 Prescribed Burn,,,15.05376695,2121.99389822,06/06/2024
,77/160,1977-78 Prescribed Burn,,,41.47889105,3276.13429314,06/06/2024
,,1977-78 Prescribed Burn,1977/09/10,,764.64360104,30843.49849213,06/06/2024
,,1977-78 Prescribed Burn,1977/09/10,,59.45739182,4354.12030127,06/06/2024
,,1977-78 Prescribed Burn,1977/09/10,,99.74867762,10852.47406066,06/06/2024
,,1977-78 Prescribed Burn,1978/06/01,,129.66945045,10030.28843201,06/06/2024
,,1978-79 Prescribed Burn,,,853.97688461,14280.29269566,06/06/2024
,,1978-79 Prescribed Burn,,,368.23849404,10022.69901239,06/06/2024
,78/160,1978-79 Prescribed Burn,,,25.34958927,2494.60729392,06/06/2024
